ID,architecture,seed,control,fold,parameters,TierA,TierB,BioMask_provenance,gate,rank_or_bottleneck,ROI_precision,ROI_recall,ROI_f1,pooled_precision,pooled_recall,pooled_f1,Accuracy,BalancedAccuracy,semantic_precision,semantic_recall,semantic_f1,NLL,ECE15,train_f1,gap,tail_f1,zero_recall_classes,runtime_seconds,decision
A5_shuffle_43,A5,43,shuffle,combined_OOF,27866,True,False,none,none,8,0.07204491725768322,0.08037825059101655,0.07390070921985817,0.3936780944837953,0.4049937190711838,0.3960164201960744,0.41,0.4061603857378505,0.39367809448379537,0.4061603857378505,0.3964255376712352,1.7731887102127075,0.12548818041880924,0.9043128209719488,0.5144089318419455,0.39490834070144415,,0.9923516999988351,evaluate prospective rule
A6_placebo_17,A6,17,placebo,combined_OOF,50026,False,False,none,none,32,0.07570921985815601,0.08439716312056737,0.0779905437352246,0.41847445457971777,0.4093457048597894,0.4065563504896164,0.44333333333333336,0.41084570485978933,0.41847445457971777,0.41084570485978933,0.4075077246968045,1.707041621208191,0.05672234336535137,0.8728400003764013,0.4904735681643498,0.4217150560932158,,0.9677704999630805,evaluate prospective rule
A6_placebo_29,A6,29,placebo,combined_OOF,50026,False,False,none,none,32,0.07239952718676122,0.0814420803782506,0.07501182033096927,0.4012311556094521,0.42238561096307575,0.4018894180873758,0.42,0.4230522776297424,0.4012311556094522,0.4230522776297424,0.4023122510683483,1.7253777980804443,0.06143865168094635,0.8361766112154951,0.45308085194884323,0.38748221781588815,,0.9672384999867063,evaluate prospective rule
A6_placebo_43,A6,43,placebo,combined_OOF,50026,False,False,none,none,32,0.06784869976359338,0.07494089834515366,0.06964539007092199,0.37065842448030384,0.37875498033244515,0.370649008987871,0.38666666666666666,0.3799216469991118,0.37065842448030384,0.3799216469991118,0.37115699157132526,1.796600341796875,0.09037802780667942,0.8683499244135442,0.5149736824547335,0.3613595706618963,,0.9671375000034459,evaluate prospective rule
A6_real_17,A6,17,real,combined_OOF,50026,True,False,none,none,32,0.07854609929078013,0.0879432624113475,0.08106382978723405,0.437384517443341,0.4287150742291588,0.42473249009723923,0.46,0.4302150742291587,0.437384517443341,0.4302150742291587,0.42564158100633015,1.6581567525863647,0.05425123607118924,0.8793496342944701,0.4772216344676526,0.43854436418154563,,0.9740254000062123,evaluate prospective rule
A6_real_29,A6,29,real,combined_OOF,50026,True,False,none,none,32,0.07647754137115839,0.08593380614657212,0.07936170212765958,0.4204787621938785,0.4416439538129679,0.4220933935567383,0.44333333333333336,0.4423106204796346,0.4204787621938785,0.4423106204796346,0.42253636144156664,1.6867938041687012,0.05864676276842753,0.8462270808418678,0.44179707120660067,0.41743492760754286,,1.0616694999625906,evaluate prospective rule
A6_real_43,A6,43,real,combined_OOF,50026,True,False,none,none,32,0.07316784869976359,0.08085106382978724,0.07517730496453902,0.41316368072563414,0.41749371907118393,0.4093648006157383,0.42,0.41866038573785047,0.41316368072563414,0.41866038573785047,0.4098361810871188,1.7404388189315796,0.05302181174357733,0.8654772481658539,0.4806376701128132,0.40250925646274477,,1.0922956999856979,evaluate prospective rule
A6_shuffle_17,A6,17,shuffle,combined_OOF,50026,True,False,none,none,32,0.0741725768321513,0.083096926713948,0.07645390070921985,0.40054398587760176,0.40399276741530266,0.39373135291272315,0.43333333333333335,0.405326100748636,0.40054398587760176,0.405326100748636,0.3944116250215667,1.7227052450180054,0.04828865513205528,0.8636772324095844,0.49877964001315783,0.40073199483815103,,0.9730190999689512,evaluate prospective rule
A6_shuffle_29,A6,29,shuffle,combined_OOF,50026,True,False,none,none,32,0.07594562647754137,0.0847517730496454,0.07848699763593382,0.41554984578552767,0.43758831366577844,0.4144707092228696,0.43333333333333335,0.43825498033244514,0.41554984578552767,0.43825498033244514,0.4149585141009184,1.7235291004180908,0.06278457244237265,0.8368708330982152,0.4400130008705243,0.39824286277380483,,0.9768507999833673,evaluate prospective rule
A6_shuffle_43,A6,43,shuffle,combined_OOF,50026,True,False,none,none,32,0.06914893617021275,0.07695035460992908,0.07137115839243499,0.3915011956518436,0.3910328004060398,0.387833809188728,0.4,0.39236613373937324,0.3915011956518436,0.39236613373937324,0.3883532897082086,1.7935785055160522,0.07559964443246522,0.8657728683581777,0.4882444688211296,0.37637703107272624,,0.974759799981257,evaluate prospective rule
