architecture,control,seed,class,support,positive_ROIs,semantic_P,semantic_R,semantic_F1,one_vs_rest_accuracy,global_conditional_accuracy,dominant_FN,dominant_FP,TP,FP,FN,pooled_P,pooled_R,pooled_F1,ROI_P,ROI_R,ROI_F1,recall_delta_vs_A1,F1_delta_vs_A1
A6,placebo,43,epithelium,24,24,0.4838709677419355,0.625,0.5454545454545454,0.9166666666666666,0.38666666666666666,tumor,tumor,15,16,9,0.4838709677419355,0.625,0.5454545454545454,0.09574468085106383,0.10638297872340426,0.09929078014184398,0.08333333333333337,0.014842300556586197
A6,placebo,43,endothelium,24,24,0.2608695652173913,0.25,0.2553191489361702,0.8833333333333333,0.38666666666666666,stroma,neutrophil,6,17,18,0.2608695652173913,0.25,0.2553191489361702,0.031914893617021274,0.0425531914893617,0.03546099290780142,-0.041666666666666685,-0.030395136778115506
A6,placebo,43,apoptosis,24,23,0.25,0.2916666666666667,0.2692307692307692,0.8733333333333333,0.38666666666666666,neutrophil,tumor,7,21,18,0.25,0.28,0.2641509433962264,0.044917257683215125,0.04609929078014184,0.04373522458628842,-0.04166666666666663,-0.027065527065527062
A6,real,17,tumor,71,57,0.5866666666666667,0.6197183098591549,0.6027397260273972,0.8066666666666666,0.46,melanophage,epithelium,44,31,27,0.5866666666666667,0.6197183098591549,0.6027397260273973,0.24704491725768318,0.2553191489361702,0.24468085106382984,0.028169014084507005,0.023429381199810972
A6,real,17,lymphocyte,37,32,0.5,0.43243243243243246,0.463768115942029,0.8766666666666667,0.46,histiocyte,histiocyte,16,16,21,0.5,0.43243243243243246,0.463768115942029,0.07210401891252956,0.09219858156028368,0.07872340425531915,-0.08108108108108103,-0.03623188405797101
A6,real,17,plasma_cell,24,22,0.4,0.3333333333333333,0.36363636363636365,0.9066666666666666,0.46,tumor,tumor,8,12,16,0.4,0.3333333333333333,0.3636363636363636,0.03664302600472813,0.0425531914893617,0.03877068557919622,0.12499999999999997,0.11363636363636365
A6,real,17,histiocyte,24,23,0.18181818181818182,0.16666666666666666,0.17391304347826086,0.8733333333333333,0.46,lymphocyte,lymphocyte,4,18,20,0.18181818181818182,0.16666666666666666,0.17391304347826086,0.028368794326241134,0.028368794326241134,0.028368794326241134,-0.08333333333333334,-0.06608695652173913
A6,real,17,melanophage,24,24,0.5588235294117647,0.7916666666666666,0.6551724137931034,0.9333333333333333,0.46,tumor,tumor,19,15,5,0.5588235294117647,0.7916666666666666,0.6551724137931034,0.12056737588652482,0.1347517730496454,0.12529550827423167,0.08333333333333326,0.05868118572292802
A6,real,17,neutrophil,24,24,0.65,0.5416666666666666,0.5909090909090909,0.94,0.46,endothelium,apoptosis,13,7,11,0.65,0.5416666666666666,0.5909090909090908,0.0797872340425532,0.09219858156028368,0.08321513002364066,0.04166666666666663,0.005543237250554389
A6,real,17,stroma,24,24,0.2727272727272727,0.125,0.17142857142857143,0.9033333333333333,0.46,endothelium,endothelium,3,8,21,0.2727272727272727,0.125,0.17142857142857143,0.01773049645390071,0.02127659574468085,0.018912529550827423,-0.04166666666666666,-0.03369963369963369
