id,class,support,semantic_P,semantic_R,semantic_F1,one_vs_rest_accuracy,global_accuracy,V17_TP,V17_FP,V17_FN,pooled_P,pooled_R,pooled_F1,ROI_P,ROI_R,ROI_F1
p3_B4_real_s43_cv0,melanophage,7,0.625,0.7142857142857143,0.6666666666666666,0.9456521739130435,0.4673913043478261,5,3,2,0.625,0.7142857142857143,0.6666666666666666,0.09782608695652174,0.10869565217391304,0.10144927536231883
p3_B4_real_s43_cv0,neutrophil,5,0.75,0.6,0.6666666666666666,0.967391304347826,0.4673913043478261,3,1,2,0.75,0.6,0.6666666666666665,0.06521739130434782,0.06521739130434782,0.06521739130434782
p3_B4_real_s43_cv0,stroma,6,0.25,0.3333333333333333,0.2857142857142857,0.8913043478260869,0.4673913043478261,2,6,4,0.25,0.3333333333333333,0.28571428571428575,0.03260869565217391,0.043478260869565216,0.03623188405797101
p3_B4_real_s43_cv0,epithelium,12,0.8,0.3333333333333333,0.47058823529411764,0.9021739130434783,0.4673913043478261,4,1,8,0.8,0.3333333333333333,0.47058823529411764,0.07608695652173914,0.08695652173913043,0.07971014492753623
p3_B4_real_s43_cv0,endothelium,8,0.5,0.125,0.2,0.9130434782608695,0.4673913043478261,1,1,7,0.5,0.125,0.2,0.021739130434782608,0.021739130434782608,0.021739130434782608
p3_B4_real_s43_cv0,apoptosis,4,0.2,0.5,0.2857142857142857,0.8913043478260869,0.4673913043478261,2,8,2,0.2,0.5,0.28571428571428575,0.043478260869565216,0.043478260869565216,0.043478260869565216
p3_B4_real_s43_cv1,tumor,28,0.6428571428571429,0.32142857142857145,0.42857142857142855,0.7798165137614679,0.3944954128440367,9,5,19,0.6428571428571429,0.32142857142857145,0.4285714285714286,0.1875,0.16319444444444445,0.17013888888888892
p3_B4_real_s43_cv1,lymphocyte,6,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.9174311926605505,0.3944954128440367,2,5,4,0.2857142857142857,0.3333333333333333,0.30769230769230765,0.03125,0.041666666666666664,0.03472222222222222
p3_B4_real_s43_cv1,plasma_cell,6,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.9174311926605505,0.3944954128440367,2,5,4,0.2857142857142857,0.3333333333333333,0.30769230769230765,0.020833333333333332,0.041666666666666664,0.027777777777777776
p3_B4_real_s43_cv1,histiocyte,10,0.07692307692307693,0.1,0.08695652173913043,0.8073394495412844,0.3944954128440367,1,12,9,0.07692307692307693,0.1,0.08695652173913043,0.020833333333333332,0.020833333333333332,0.020833333333333332
