group_type,group,n,dice_mean,dice_median,dice_finite_n,iou_mean,iou_median,iou_finite_n,area_relative_error_mean,area_relative_error_median,area_relative_error_finite_n,centroid_error_mean,centroid_error_median,centroid_error_finite_n,occupancy_mean,occupancy_median,occupancy_finite_n,quality_confidence_mean,quality_confidence_median,quality_confidence_finite_n,presence_confidence_mean,presence_confidence_median,presence_confidence_finite_n,area_pearson,major_pearson,minor_pearson,eccentricity_pearson,perimeter_pearson,circularity_pearson,confidence_vs_iou_pearson
by_roi,training_set_metastatic_roi_061,2,0.870121870320881,0.870121870320881,2,0.7705227205227205,0.7705227205227205,2,0.2932752179327522,0.2932752179327522,2,1.4600919075228036,1.4600919075228036,2,0.0732421875,0.0732421875,2,0.8721511662006378,0.8721511662006378,2,0.9980399906635284,0.9980399906635284,2,,,,,,,
by_roi,training_set_metastatic_roi_062,1,0.5699873896595208,0.5699873896595208,1,0.3985890652557319,0.3985890652557319,1,0.5889679715302492,0.5889679715302492,1,2.024840398381146,2.024840398381146,1,0.025065104166666668,0.025065104166666668,1,0.6778390407562256,0.6778390407562256,1,0.9983964562416077,0.9983964562416077,1,,,,,,,
by_roi,training_set_metastatic_roi_063,2,0.942701429854587,0.942701429854587,2,0.8921080526882841,0.8921080526882841,2,0.10652342460049677,0.10652342460049677,2,0.9323202952618819,0.9323202952618819,2,0.06342230902777778,0.06342230902777778,2,0.8769743740558624,0.8769743740558624,2,0.9982303082942963,0.9982303082942963,2,,,,,,,
by_roi,training_set_metastatic_roi_064,5,0.8801907331988306,0.8711276332094176,5,0.7876364325856027,0.7716794731064764,5,0.15498967856879511,0.11616161616161616,5,1.8696976894456785,2.0064046142260517,5,0.0748046875,0.06608072916666667,5,0.8389492630958557,0.8727814555168152,5,0.9903051614761352,0.9996370077133179,5,0.7075468479357755,0.7373600588474148,0.7089645402766582,0.8674913336495207,0.6093402297281603,0.5923711839301576,0.5979139902013093
by_roi,training_set_metastatic_roi_065,3,0.7931427899226032,0.8634984833164813,3,0.677517787133306,0.7597864768683275,3,0.2995528431773367,0.3161592505854801,3,3.4352521942552436,1.4059592321758985,3,0.05078125,0.06043836805555555,3,0.8302507797876993,0.9004312753677368,3,0.9656917651494344,0.9992874264717102,3,-0.64080695523897,-0.8900531844118633,0.9888920765456973,0.4440573957282427,-0.9056405505716936,-0.17873253395064653,0.9743598102867992
by_roi,training_set_metastatic_roi_066,2,0.8868772009075696,0.8868772009075696,2,0.804769038701623,0.804769038701623,2,0.19406810035842292,0.19406810035842292,2,1.1269769094901183,1.1269769094901183,2,0.03721788194444445,0.03721788194444445,2,0.800131618976593,0.800131618976593,2,0.9502611756324768,0.9502611756324768,2,,,,,,,
by_roi,training_set_metastatic_roi_067,1,0.8881987577639752,0.8881987577639752,1,0.7988826815642458,0.7988826815642458,1,0.07761194029850746,0.07761194029850746,1,1.9219818608234949,1.9219818608234949,1,0.033528645833333336,0.033528645833333336,1,0.8058414459228516,0.8058414459228516,1,0.9990342855453491,0.9990342855453491,1,,,,,,,
by_roi,training_set_metastatic_roi_068,1,0.9485232067510548,0.9485232067510548,1,0.9020866773675762,0.9020866773675762,1,0.025,0.025,1,1.3967424404999635,1.3967424404999635,1,0.1904296875,0.1904296875,1,0.8743771910667419,0.8743771910667419,1,0.9768359661102295,0.9768359661102295,1,,,,,,,
by_roi,training_set_metastatic_roi_069,2,0.636477531736328,0.636477531736328,2,0.5695536841617533,0.5695536841617533,2,0.40621091871091874,0.40621091871091874,2,7.373571098416417,7.373571098416417,2,0.04334852430555555,0.04334852430555555,2,0.540726438164711,0.540726438164711,2,0.6236261948943138,0.6236261948943138,2,,,,,,,
by_roi,training_set_metastatic_roi_070,3,0.911913160949266,0.9140845070422535,3,0.8381110376305775,0.8417639429312581,3,0.1636824549435404,0.1780821917808219,3,1.1007310137169146,0.9374126199304561,3,0.08166956018518519,0.08355034722222222,3,0.9051771362622579,0.9106658101081848,3,0.9996202985445658,0.9998319149017334,3,0.9737624696634045,0.9990606863213651,0.9809094491649599,0.9842471849279226,0.9954057038737814,0.9999339122187572,0.9903703960228165
by_roi,training_set_metastatic_roi_071,2,0.8354547236175721,0.8354547236175721,2,0.740695343817453,0.740695343817453,2,0.18870498454599455,0.18870498454599455,2,3.476590370097077,3.476590370097077,2,0.048773871527777776,0.048773871527777776,2,0.7614311873912811,0.7614311873912811,2,0.981532633304596,0.981532633304596,2,,,,,,,
by_roi,training_set_metastatic_roi_072,4,0.7679013556907942,0.7960348678663054,4,0.637006195109133,0.6611821239491182,4,0.47090130399718877,0.21322159598313295,4,3.4732339802355745,2.9784674320683644,4,0.0683322482638889,0.054361979166666664,4,0.8169157952070236,0.8257105350494385,4,0.9947765618562698,0.9983354806900024,4,0.9879156734093675,0.9808514479262254,0.6748136863833054,0.9925527056470521,0.9742972185206623,0.962337470140607,-0.4569890477332752
by_roi,training_set_metastatic_roi_073,2,0.8054262706855793,0.8054262706855793,2,0.6857757216394084,0.6857757216394084,2,0.3327279905250691,0.3327279905250691,2,1.317654344196174,1.317654344196174,2,0.07237413194444445,0.07237413194444445,2,0.9204639196395874,0.9204639196395874,2,0.9996343553066254,0.9996343553066254,2,,,,,,,
by_roi,training_set_metastatic_roi_075,2,0.8591763499658236,0.8591763499658236,2,0.7570533740393726,0.7570533740393726,2,0.25027327834641755,0.25027327834641755,2,1.4977393324512485,1.4977393324512485,2,0.034342447916666664,0.034342447916666664,2,0.8759159445762634,0.8759159445762634,2,0.9796777069568634,0.9796777069568634,2,,,,,,,
by_roi,training_set_metastatic_roi_076,2,0.8369881710646042,0.8369881710646042,2,0.721182332345812,0.721182332345812,2,0.39357272963830336,0.39357272963830336,2,0.47241448612649123,0.47241448612649123,2,0.017957899305555556,0.017957899305555556,2,0.8018919229507446,0.8018919229507446,2,0.8866118788719177,0.8866118788719177,2,,,,,,,
