family,seed,class,support,predicted_count,precision,recall,f1,ROI_F1,TP,FP,FN,f1_score
A2_broken,43,melanophage,24,14,0.5714285714285714,0.3333333333333333,0.42105263157894735,0.05200945626477541,8,6,16,0.4210526315789474
A2_broken,43,neutrophil,24,27,0.4074074074074074,0.4583333333333333,0.43137254901960786,0.06973995271867611,11,16,13,0.4313725490196078
A2_broken,43,stroma,24,33,0.18181818181818182,0.25,0.21052631578947367,0.04018912529550827,6,27,18,0.2105263157894737
A2_broken,43,epithelium,24,22,0.5454545454545454,0.5,0.5217391304347826,0.08037825059101654,12,10,12,0.5217391304347826
A2_broken,43,endothelium,24,18,0.2777777777777778,0.20833333333333334,0.23809523809523808,0.030732860520094562,5,13,19,0.2380952380952381
A2_broken,43,apoptosis,24,22,0.22727272727272727,0.2,0.21739130434782608,0.029550827423167843,5,17,20,0.21276595744680854
A3,17,tumor,71,63,0.7142857142857143,0.6338028169014085,0.6716417910447762,0.2659574468085107,45,18,26,0.6716417910447761
A3,17,lymphocyte,37,49,0.5510204081632653,0.7297297297297297,0.627906976744186,0.1441404930766633,27,22,10,0.6279069767441859
A3,17,plasma_cell,24,22,0.5454545454545454,0.5,0.5217391304347826,0.06241134751773049,12,10,12,0.5217391304347826
A3,17,histiocyte,24,23,0.34782608695652173,0.3333333333333333,0.3404255319148936,0.05200945626477542,8,15,16,0.3404255319148936
A3,17,melanophage,24,25,0.72,0.75,0.7346938775510204,0.12529550827423167,18,7,6,0.7346938775510204
A3,17,neutrophil,24,24,0.75,0.75,0.75,0.1276595744680851,18,6,6,0.75
A3,17,stroma,24,33,0.36363636363636365,0.5,0.42105263157894735,0.08037825059101654,12,21,12,0.4210526315789474
A3,17,epithelium,24,23,0.6086956521739131,0.5833333333333334,0.5957446808510638,0.09929078014184398,14,9,10,0.5957446808510638
A3,17,endothelium,24,23,0.4782608695652174,0.4583333333333333,0.46808510638297873,0.0756501182033097,11,12,13,0.4680851063829787
A3,17,apoptosis,24,15,0.6666666666666666,0.4,0.5128205128205128,0.06855791962174941,10,5,15,0.5
A3,29,tumor,71,61,0.6885245901639344,0.5915492957746479,0.6363636363636364,0.2456264775413712,42,19,29,0.6363636363636364
A3,29,lymphocyte,37,50,0.54,0.7297297297297297,0.6206896551724138,0.14674096588990204,27,23,10,0.6206896551724138
A3,29,plasma_cell,24,20,0.7,0.5833333333333334,0.6363636363636364,0.08037825059101654,14,6,10,0.6363636363636365
A3,29,histiocyte,24,31,0.2903225806451613,0.375,0.32727272727272727,0.05791962174940899,9,22,15,0.3272727272727273
A3,29,melanophage,24,27,0.6666666666666666,0.75,0.7058823529411765,0.1276595744680851,18,9,6,0.7058823529411765
A3,29,neutrophil,24,22,0.8181818181818182,0.75,0.782608695652174,0.1276595744680851,18,4,6,0.7826086956521738
A3,29,stroma,24,26,0.46153846153846156,0.5,0.48,0.0851063829787234,12,14,12,0.48000000000000004
A3,29,epithelium,24,20,0.7,0.5833333333333334,0.6363636363636364,0.09692671394799056,14,6,10,0.6363636363636365
A3,29,endothelium,24,20,0.55,0.4583333333333333,0.5,0.0756501182033097,11,9,13,0.5
A3,29,apoptosis,24,23,0.4782608695652174,0.44,0.46808510638297873,0.07565011820330969,11,12,14,0.4583333333333333
A3,43,tumor,71,65,0.676923076923077,0.6197183098591549,0.6470588235294118,0.25295508274231676,44,21,27,0.6470588235294118
A3,43,lymphocyte,37,47,0.46808510638297873,0.5945945945945946,0.5238095238095238,0.11442080378250591,22,25,15,0.5238095238095238
A3,43,plasma_cell,24,23,0.4782608695652174,0.4583333333333333,0.46808510638297873,0.0624113475177305,11,12,13,0.4680851063829787
A3,43,histiocyte,24,22,0.2727272727272727,0.25,0.2608695652173913,0.04018912529550828,6,16,18,0.2608695652173913
A3,43,melanophage,24,22,0.8181818181818182,0.75,0.782608695652174,0.12529550827423167,18,4,6,0.7826086956521738
A3,43,neutrophil,24,19,0.7894736842105263,0.625,0.6976744186046512,0.10638297872340426,15,4,9,0.6976744186046512
A3,43,stroma,24,33,0.3939393939393939,0.5416666666666666,0.45614035087719296,0.08510638297872339,13,20,11,0.45614035087719296
A3,43,epithelium,24,27,0.5555555555555556,0.625,0.5882352941176471,0.10401891252955084,15,12,9,0.5882352941176471
A3,43,endothelium,24,22,0.5454545454545454,0.5,0.5217391304347826,0.08274231678486998,12,10,12,0.5217391304347826
A3,43,apoptosis,24,20,0.5,0.4,0.45454545454545453,0.06855791962174941,10,10,15,0.4444444444444445
A3_broken,17,tumor,71,86,0.46511627906976744,0.5633802816901409,0.5095541401273885,0.22576832151300238,40,46,31,0.5095541401273885
A3_broken,17,lymphocyte,37,40,0.325,0.35135135135135137,0.33766233766233766,0.07115839243498819,13,27,24,0.33766233766233766
A3_broken,17,plasma_cell,24,25,0.2,0.20833333333333334,0.20408163265306123,0.02458628841607565,5,20,19,0.20408163265306126
A3_broken,17,histiocyte,24,16,0.1875,0.125,0.15,0.02127659574468085,3,13,21,0.15
A3_broken,17,melanophage,24,18,0.3333333333333333,0.25,0.2857142857142857,0.037825059101654845,6,12,18,0.28571428571428575
A3_broken,17,neutrophil,24,18,0.4444444444444444,0.3333333333333333,0.38095238095238093,0.0508274231678487,8,10,16,0.380952380952381
A3_broken,17,stroma,24,24,0.125,0.125,0.125,0.02127659574468085,3,21,21,0.125
A3_broken,17,epithelium,24,21,0.42857142857142855,0.375,0.4,0.06146572104018913,9,12,15,0.39999999999999997
A3_broken,17,endothelium,24,31,0.22580645161290322,0.2916666666666667,0.2545454545454545,0.044917257683215125,7,24,17,0.2545454545454545
A3_broken,17,apoptosis,24,21,0.2857142857142857,0.24,0.26666666666666666,0.04018912529550828,6,15,19,0.2608695652173913
A3_broken,29,tumor,71,72,0.4861111111111111,0.49295774647887325,0.48951048951048953,0.2054373522458629,35,37,36,0.4895104895104895
