id,epoch,objective,train_CE,val_CE,train_semantic_F1,val_semantic_F1,ROI_F1,pooled_F1,accuracy,balanced_accuracy,gap,min_class_exposure,min_positive_target_head_gradient,LR
p3_B4_placebo_s17_cv0,6,0.9117023302958562,0.8009344339370728,1.64984929561615,0.7990016251637015,0.3703396019185493,0.07601449275362318,0.37033960191854925,0.43478260869565216,0.4059066372224267,0.42866202324515223,17,8.559758359735662,0.001
p3_B4_placebo_s17_cv0,7,0.711158926670368,0.6849038004875183,1.6937692165374756,0.8229852439186353,0.3558227874636543,0.07855072463768115,0.3558227874636543,0.44565217391304346,0.40688850623061146,0.46716245645498095,9,6.468614041805267,0.001
p3_B4_placebo_s17_cv0,8,0.6793229213127723,0.6367334127426147,1.7497955560684204,0.8517491391298847,0.32377389596267847,0.07166666666666667,0.32377389596267847,0.41304347826086957,0.3688090856511909,0.5279752431672062,12,4.252205779155095,0.001
p3_B4_placebo_s17_cv0,9,0.5236124671422518,0.5047121644020081,1.693361520767212,0.9126396163176349,0.3687681992337165,0.07253623188405797,0.3687681992337165,0.42391304347826086,0.3853542071963124,0.5438714170839184,17,3.879701554775238,0.001
p3_B4_placebo_s17_cv0,10,0.49148498131678653,0.43961459398269653,1.6933034658432007,0.917305668738663,0.35298116184586115,0.06985507246376813,0.35298116184586115,0.41304347826086957,0.3791553183658447,0.5643245068928019,14,3.5976473553614183,0.001
p3_B4_placebo_s17_cv1,1,2.2814124953684383,2.0357961654663086,2.2874655723571777,0.27477154538599874,0.13953644857900177,0.03020833333333333,0.13953644857900177,0.1651376146788991,0.14314574314574313,0.13523509680699697,10,31.94655073606051,0.001
p3_B4_placebo_s17_cv1,2,2.0318016656406264,1.5965150594711304,2.054150104522705,0.49739186080936443,0.1956818181818182,0.04736111111111112,0.19568181818181815,0.27522935779816515,0.2610750360750361,0.3017100426275462,8,26.756320635477703,0.001
p3_B4_placebo_s17_cv1,3,1.464108950180533,1.369146704673767,1.8415892124176025,0.6493486133599156,0.33239886039886046,0.07458333333333333,0.3323988603988604,0.3944954128440367,0.35930014430014434,0.3169497529610551,12,23.679351443336124,0.001
p3_B4_placebo_s17_cv1,4,1.2451142796671204,1.1508123874664307,1.7521578073501587,0.6910692612203605,0.36437992358255916,0.08604166666666666,0.36437992358255905,0.44954128440366975,0.39962481962481966,0.32668933763780134,10,20.861962405118074,0.001
p3_B4_placebo_s17_cv1,5,1.024757681404733,0.9765188694000244,1.7073330879211426,0.7274594925643021,0.3694080798428624,0.08222222222222222,0.3694080798428624,0.44036697247706424,0.4093867243867244,0.3580514127214397,14,12.305347762609783,0.001
