prompt,run_id,seed,fold,epoch,split,class_name,support,predicted,precision,recall,f1,TP,FP,FN,dominant_confusion,class_diagnostics
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,val,lymphocyte,672,416,0.6610576923076923,0.40922619047619047,0.5055147058823529,275,141,397,"[[""epithelium"",134],[""stroma"",88],[""apoptosis"",44],[""histiocyte"",39],[""neutrophil"",32],[""melanophage"",25],[""plasma_cell"",15],[""tumor"",14],[""endothelium"",6]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,val,plasma_cell,14,203,0.009852216748768473,0.14285714285714285,0.018433179723502304,2,201,12,"[[""epithelium"",5],[""stroma"",3],[""histiocyte"",1],[""melanophage"",1],[""neutrophil"",1],[""endothelium"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,val,histiocyte,166,312,0.13141025641025642,0.2469879518072289,0.17154811715481172,41,271,125,"[[""epithelium"",52],[""stroma"",28],[""endothelium"",21],[""plasma_cell"",7],[""tumor"",5],[""lymphocyte"",5],[""melanophage"",5],[""neutrophil"",1],[""apoptosis"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,val,melanophage,66,294,0.17346938775510204,0.7727272727272727,0.2833333333333333,51,243,15,"[[""epithelium"",10],[""stroma"",3],[""histiocyte"",1],[""apoptosis"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,val,neutrophil,37,110,0.2,0.5945945945945946,0.29931972789115646,22,88,15,"[[""apoptosis"",8],[""stroma"",7]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,val,stroma,149,461,0.11062906724511931,0.3422818791946309,0.16721311475409836,51,410,98,"[[""epithelium"",34],[""melanophage"",16],[""histiocyte"",15],[""plasma_cell"",8],[""apoptosis"",8],[""endothelium"",6],[""lymphocyte"",5],[""neutrophil"",4],[""tumor"",2]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,val,epithelium,65,1661,0.0325105358217941,0.8307692307692308,0.06257242178447277,54,1607,11,"[[""stroma"",4],[""lymphocyte"",3],[""tumor"",2],[""melanophage"",1],[""neutrophil"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,val,endothelium,85,246,0.07317073170731707,0.21176470588235294,0.10876132930513595,18,228,67,"[[""epithelium"",27],[""histiocyte"",14],[""stroma"",14],[""tumor"",4],[""melanophage"",3],[""plasma_cell"",2],[""neutrophil"",2],[""apoptosis"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,val,apoptosis,97,121,0.1487603305785124,0.18556701030927836,0.1651376146788991,18,103,79,"[[""stroma"",35],[""neutrophil"",16],[""epithelium"",9],[""lymphocyte"",7],[""plasma_cell"",4],[""melanophage"",4],[""tumor"",2],[""histiocyte"",2]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,4,train,tumor,9591,1532,0.9471279373368147,0.1512876655197581,0.26090083610536724,1451,81,8140,"[[""epithelium"",3115],[""endothelium"",1357],[""plasma_cell"",894],[""histiocyte"",789],[""stroma"",572],[""lymphocyte"",468],[""apoptosis"",442],[""melanophage"",341],[""neutrophil"",162]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,4,train,lymphocyte,3378,2354,0.6966864910790145,0.4854943753700414,0.5722260990928123,1640,714,1738,"[[""plasma_cell"",376],[""histiocyte"",309],[""apoptosis"",285],[""neutrophil"",246],[""stroma"",189],[""epithelium"",188],[""endothelium"",94],[""melanophage"",28],[""tumor"",23]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,4,train,plasma_cell,81,1545,0.04401294498381877,0.8395061728395061,0.08364083640836409,68,1477,13,"[[""apoptosis"",5],[""lymphocyte"",4],[""histiocyte"",1],[""neutrophil"",1],[""stroma"",1],[""endothelium"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,4,train,histiocyte,1295,1777,0.29431626336522226,0.4038610038610039,0.3404947916666667,523,1254,772,"[[""endothelium"",176],[""epithelium"",171],[""lymphocyte"",131],[""plasma_cell"",115],[""stroma"",87],[""melanophage"",26],[""tumor"",25],[""apoptosis"",25],[""neutrophil"",16]]",NOT RECORDED IN ORIGINAL RUN
