prompt,run_id,seed,fold,epoch,split,true_class,predicted_class,count
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,histiocyte,endothelium,60
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,histiocyte,apoptosis,26
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,melanophage,tumor,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,melanophage,lymphocyte,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,melanophage,plasma_cell,2
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,melanophage,histiocyte,4
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,melanophage,melanophage,91
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,melanophage,neutrophil,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,melanophage,stroma,5
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,melanophage,epithelium,4
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,melanophage,endothelium,4
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,melanophage,apoptosis,2
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,neutrophil,tumor,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,neutrophil,lymphocyte,4
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,neutrophil,plasma_cell,4
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,neutrophil,histiocyte,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,neutrophil,melanophage,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,neutrophil,neutrophil,24
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,neutrophil,stroma,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,neutrophil,epithelium,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,neutrophil,endothelium,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,neutrophil,apoptosis,14
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,stroma,tumor,21
