run_id,seed,roi,roi_fixed10_f1,semantic_annotation_rows,summary_sha256
p6_A_D300_s29,29,training_set_primary_roi_075,0.2,3,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_082,0.26666666666666666,5,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_083,0.06666666666666667,5,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_086,0.06666666666666667,5,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_091,0.06666666666666667,2,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_096,0.1,3,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_098,0.1,3,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s43,43,training_set_metastatic_roi_001,0.1,2,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_002,0.0,2,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_015,0.1,2,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_018,0.11666666666666665,5,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_020,0.2,3,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_023,0.16666666666666666,3,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_029,0.16666666666666666,3,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_030,0.0,4,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_031,0.06666666666666667,2,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_032,0.06666666666666667,3,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_035,0.1,1,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_040,0.1,3,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_046,0.05714285714285715,6,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_047,0.1,3,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_049,0.06666666666666667,2,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_056,0.08,6,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_061,0.21666666666666665,6,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_067,0.05,5,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_076,0.0,3,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_080,0.24,7,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_081,0.2,3,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_085,0.1,2,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_087,0.1,4,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_093,0.2,2,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_097,0.0,1,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_metastatic_roi_102,0.05,3,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_002,0.0,1,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_006,0.16666666666666666,3,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_009,0.0,2,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_010,0.16666666666666666,6,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_012,0.05,5,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_014,0.25,5,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_016,0.35,6,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_020,0.26666666666666666,4,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_022,0.2,5,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_024,0.06666666666666667,3,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_029,0.16666666666666666,5,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_032,0.27999999999999997,5,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_034,0.03333333333333334,6,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
