representation,class_name,other_class,centroid_cosine,centroid_distance
CLS,stroma,plasma_cell,0.9167373677623913,0.29620788890676986
CLS,stroma,histiocyte,0.9426326648915748,0.2510251002681869
CLS,stroma,melanophage,0.8746254362400376,0.3701539103724419
CLS,stroma,neutrophil,0.9047131602212907,0.3169216874823729
CLS,stroma,stroma,0.9999999999999998,0.0
CLS,stroma,epithelium,0.8855209214292014,0.3406026269152456
CLS,stroma,endothelium,0.950156893143814,0.2249662987463162
CLS,stroma,apoptosis,0.9129892154137076,0.29774888704369556
CLS,epithelium,tumor,0.9124875176872206,0.29946963684252104
CLS,epithelium,lymphocyte,0.8191160718081375,0.4462580110960465
CLS,epithelium,plasma_cell,0.8475456729979485,0.40358121699806815
CLS,epithelium,histiocyte,0.8444352812851941,0.41172997345559986
CLS,epithelium,melanophage,0.8357071477854089,0.4261243861038805
CLS,epithelium,neutrophil,0.8399853666691574,0.41383095544177456
CLS,epithelium,stroma,0.8855209214292014,0.3406026269152456
CLS,epithelium,epithelium,0.9999999999999998,0.0
CLS,epithelium,endothelium,0.8623537411995034,0.3779526279409468
CLS,epithelium,apoptosis,0.8507403901767959,0.39455829918107826
CLS,endothelium,tumor,0.9268861802856531,0.273461867724224
CLS,endothelium,lymphocyte,0.9317632438137966,0.2755907633067206
CLS,endothelium,plasma_cell,0.9217825131946502,0.2891819831952094
CLS,endothelium,histiocyte,0.9517724490198047,0.23061712030121861
CLS,endothelium,melanophage,0.8532519431409236,0.4026942008047018
CLS,endothelium,neutrophil,0.9254856821414201,0.2825953707169083
CLS,endothelium,stroma,0.950156893143814,0.2249662987463162
CLS,endothelium,epithelium,0.8623537411995034,0.3779526279409468
CLS,endothelium,endothelium,1.0000000000000002,0.0
CLS,endothelium,apoptosis,0.9250981179646651,0.2792638266913195
CLS,apoptosis,tumor,0.953043513368619,0.21997174163226152
CLS,apoptosis,lymphocyte,0.9195688094192126,0.2990522970763355
CLS,apoptosis,plasma_cell,0.9515115146228859,0.22829293507694215
CLS,apoptosis,histiocyte,0.9136600359812227,0.30767108441369445
CLS,apoptosis,melanophage,0.8238771086518176,0.44156687988948057
CLS,apoptosis,neutrophil,0.9455050298241505,0.24222787511400082
CLS,apoptosis,stroma,0.9129892154137076,0.29774888704369556
CLS,apoptosis,epithelium,0.8507403901767959,0.39455829918107826
CLS,apoptosis,endothelium,0.9250981179646651,0.2792638266913195
CLS,apoptosis,apoptosis,1.0,0.0
