roi_id,fold,match_status,count
training_set_primary_roi_023,2,unmatched,64
training_set_primary_roi_024,2,matched,523
training_set_primary_roi_024,2,unmatched,56
training_set_primary_roi_025,0,matched,282
training_set_primary_roi_025,0,unmatched,47
training_set_primary_roi_026,0,matched,261
training_set_primary_roi_026,0,unmatched,57
training_set_primary_roi_027,3,matched,270
training_set_primary_roi_027,3,unmatched,47
training_set_primary_roi_028,2,matched,277
training_set_primary_roi_028,2,unmatched,103
training_set_primary_roi_029,3,matched,390
training_set_primary_roi_029,3,unmatched,31
training_set_primary_roi_030,3,matched,242
training_set_primary_roi_030,3,unmatched,76
training_set_primary_roi_031,2,matched,352
training_set_primary_roi_031,2,unmatched,66
training_set_primary_roi_032,3,matched,402
training_set_primary_roi_032,3,unmatched,45
training_set_primary_roi_033,0,matched,380
training_set_primary_roi_033,0,unmatched,53
training_set_primary_roi_034,3,matched,316
training_set_primary_roi_034,3,unmatched,37
training_set_primary_roi_035,0,matched,495
training_set_primary_roi_035,0,unmatched,57
training_set_primary_roi_036,3,matched,501
training_set_primary_roi_036,3,unmatched,81
training_set_primary_roi_037,0,matched,364
training_set_primary_roi_037,0,unmatched,42
training_set_primary_roi_038,2,matched,367
training_set_primary_roi_038,2,unmatched,69
training_set_primary_roi_039,3,matched,449
training_set_primary_roi_039,3,unmatched,43
training_set_primary_roi_040,3,matched,533
training_set_primary_roi_040,3,unmatched,56
training_set_primary_roi_041,0,matched,500
training_set_primary_roi_041,0,unmatched,67
training_set_primary_roi_042,2,matched,444
training_set_primary_roi_042,2,unmatched,122
training_set_primary_roi_043,3,matched,585
training_set_primary_roi_043,3,unmatched,58
training_set_primary_roi_044,3,matched,417
training_set_primary_roi_044,3,unmatched,48
training_set_primary_roi_045,2,matched,559
training_set_primary_roi_045,2,unmatched,132
training_set_primary_roi_046,2,matched,477
training_set_primary_roi_046,2,unmatched,54
training_set_primary_roi_047,3,matched,793
training_set_primary_roi_047,3,unmatched,75
training_set_primary_roi_048,0,matched,798
training_set_primary_roi_048,0,unmatched,109
training_set_primary_roi_049,0,matched,445
training_set_primary_roi_049,0,unmatched,108
training_set_primary_roi_050,0,matched,701
training_set_primary_roi_050,0,unmatched,83
training_set_primary_roi_051,3,matched,392
training_set_primary_roi_051,3,unmatched,91
training_set_primary_roi_052,0,matched,669
training_set_primary_roi_052,0,unmatched,57
training_set_primary_roi_053,3,matched,505
training_set_primary_roi_053,3,unmatched,67
training_set_primary_roi_054,3,matched,588
training_set_primary_roi_054,3,unmatched,51
training_set_primary_roi_055,2,matched,514
training_set_primary_roi_055,2,unmatched,55
training_set_primary_roi_056,3,matched,455
training_set_primary_roi_056,3,unmatched,71
training_set_primary_roi_057,0,matched,663
training_set_primary_roi_057,0,unmatched,44
training_set_primary_roi_058,2,matched,405
training_set_primary_roi_058,2,unmatched,36
training_set_primary_roi_059,2,matched,531
training_set_primary_roi_059,2,unmatched,196
training_set_primary_roi_060,0,matched,332
training_set_primary_roi_060,0,unmatched,124
training_set_primary_roi_061,3,matched,557
training_set_primary_roi_061,3,unmatched,90
training_set_primary_roi_062,3,matched,469
training_set_primary_roi_062,3,unmatched,61
training_set_primary_roi_063,2,matched,505
training_set_primary_roi_063,2,unmatched,62
training_set_primary_roi_064,3,matched,522
training_set_primary_roi_064,3,unmatched,48
training_set_primary_roi_065,2,matched,513
training_set_primary_roi_065,2,unmatched,49
training_set_primary_roi_066,4,matched,227
training_set_primary_roi_066,4,unmatched,68
training_set_primary_roi_067,2,matched,436
training_set_primary_roi_067,2,unmatched,30
training_set_primary_roi_068,3,matched,488
training_set_primary_roi_068,3,unmatched,86
training_set_primary_roi_069,2,matched,763
training_set_primary_roi_069,2,unmatched,98
training_set_primary_roi_070,0,matched,518
training_set_primary_roi_070,0,unmatched,125
training_set_primary_roi_071,2,matched,248
training_set_primary_roi_071,2,unmatched,64
training_set_primary_roi_072,2,matched,460
training_set_primary_roi_072,2,unmatched,135
training_set_primary_roi_073,3,matched,426
training_set_primary_roi_073,3,unmatched,101
training_set_primary_roi_074,0,matched,457
training_set_primary_roi_074,0,unmatched,49
training_set_primary_roi_075,2,matched,297
training_set_primary_roi_075,2,unmatched,49
training_set_primary_roi_076,3,matched,420
training_set_primary_roi_076,3,unmatched,54
training_set_primary_roi_077,4,matched,482
training_set_primary_roi_077,4,unmatched,62
training_set_primary_roi_078,4,matched,281
training_set_primary_roi_078,4,unmatched,60
training_set_primary_roi_079,2,matched,483
training_set_primary_roi_079,2,unmatched,128
training_set_primary_roi_080,0,matched,559
training_set_primary_roi_080,0,unmatched,106
training_set_primary_roi_081,2,matched,652
training_set_primary_roi_081,2,unmatched,88
training_set_primary_roi_082,0,matched,255
training_set_primary_roi_082,0,unmatched,70
training_set_primary_roi_083,0,matched,764
training_set_primary_roi_083,0,unmatched,114
training_set_primary_roi_084,2,matched,456
training_set_primary_roi_084,2,unmatched,26
training_set_primary_roi_085,4,matched,336
training_set_primary_roi_085,4,unmatched,125
training_set_primary_roi_086,3,matched,589
training_set_primary_roi_086,3,unmatched,97
training_set_primary_roi_087,2,matched,690
training_set_primary_roi_087,2,unmatched,76
training_set_primary_roi_088,2,matched,269
training_set_primary_roi_088,2,unmatched,47
training_set_primary_roi_089,3,matched,263
training_set_primary_roi_089,3,unmatched,46
training_set_primary_roi_090,0,matched,466
training_set_primary_roi_090,0,unmatched,43
training_set_primary_roi_091,3,matched,867
training_set_primary_roi_091,3,unmatched,100
training_set_primary_roi_092,3,matched,279
training_set_primary_roi_092,3,unmatched,117
training_set_primary_roi_093,2,matched,568
training_set_primary_roi_093,2,unmatched,116
training_set_primary_roi_094,0,matched,629
training_set_primary_roi_094,0,unmatched,98
training_set_primary_roi_095,4,matched,390
training_set_primary_roi_095,4,unmatched,46
training_set_primary_roi_096,2,matched,600
training_set_primary_roi_096,2,unmatched,79
training_set_primary_roi_097,2,matched,597
training_set_primary_roi_097,2,unmatched,83
training_set_primary_roi_098,0,matched,537
training_set_primary_roi_098,0,unmatched,83
training_set_primary_roi_099,0,matched,521
training_set_primary_roi_099,0,unmatched,96
training_set_primary_roi_100,0,matched,424
training_set_primary_roi_100,0,unmatched,54
training_set_primary_roi_101,0,matched,371
training_set_primary_roi_101,0,unmatched,60
training_set_primary_roi_102,0,matched,464
training_set_primary_roi_102,0,unmatched,64
training_set_primary_roi_103,3,matched,332
training_set_primary_roi_103,3,unmatched,52
