architecture,seed,uid,class,category,classification_delta,dice,iou,area_relative_error,correction_norm,index
A5,17,training_set_primary_roi_017:168,lymphocyte,both_correct,0,0.9354005167958657,0.8786407766990292,0.025510204081632654,0.5472877621650696,234
A5,17,training_set_primary_roi_018:27,plasma_cell,both_wrong,0,0.9788732394366197,0.9586206896551724,0.003527336860670194,6.496356010437012,235
A5,17,training_set_primary_roi_020:147,histiocyte,both_wrong,0,0.931986531986532,0.8726355611601513,0.05110497237569061,0.4597345292568207,236
A5,17,training_set_primary_roi_020:489,endothelium,A1_wrong_candidate_correct,1,0.5576748410535877,0.3866498740554156,0.6466346153846154,2.1036667823791504,237
A5,17,training_set_primary_roi_021:49,endothelium,both_wrong,0,0.807905138339921,0.6777188328912467,0.3644859813084112,2.325913429260254,238
A5,17,training_set_primary_roi_021:99,tumor,both_wrong,0,0.9526570048309179,0.9095940959409594,0.06542056074766354,3.0189578533172607,239
A5,17,training_set_primary_roi_022:141,endothelium,both_correct,0,0.9181208053691275,0.8486352357320099,0.14214463840399003,1.4378727674484253,240
A5,17,training_set_primary_roi_022:329,epithelium,both_correct,0,0.969047619047619,0.9399538106235565,0.06004618937644342,1.3907495737075806,241
A5,17,training_set_primary_roi_022:355,tumor,both_wrong,0,0.8666666666666667,0.7647058823529411,0.23529411764705882,2.692168951034546,242
A5,17,training_set_primary_roi_023:168,tumor,both_correct,0,0.97911227154047,0.959079283887468,0.032534246575342464,2.967566967010498,243
A5,17,training_set_primary_roi_023:230,stroma,both_wrong,0,0.9900771775082691,0.980349344978166,0.015555555555555555,1.3781044483184814,244
A5,17,training_set_primary_roi_023:415,tumor,both_correct,0,0.9387040280210157,0.8844884488448845,0.09926470588235294,3.7422935962677,245
A5,17,training_set_primary_roi_024:24,lymphocyte,both_wrong,0,0.9597615499254843,0.9226361031518625,0.07736389684813753,2.7664175033569336,246
A5,17,training_set_primary_roi_024:71,stroma,both_wrong,0,0.9804270462633452,0.9616055846422339,0.028070175438596492,0.9450739026069641,247
A5,17,training_set_primary_roi_024:344,tumor,both_correct,0,0.9709794437726723,0.9435957696827262,0.05411764705882353,1.851763129234314,248
A5,17,training_set_primary_roi_025:247,melanophage,both_correct,0,0.7985246657445828,0.6646201074443592,0.3289676425269646,0.9359618425369263,249
A5,17,training_set_primary_roi_025:265,apoptosis,both_wrong,0,0.9741379310344828,0.9495798319327731,0.04631578947368421,0.8122708201408386,250
A5,17,training_set_primary_roi_025:283,neutrophil,both_correct,0,0.7650158061116965,0.6194539249146758,0.37221269296740994,3.926652193069458,251
A5,17,training_set_primary_roi_027:74,lymphocyte,both_correct,0,0.9687162891046386,0.9393305439330544,0.04842105263157895,3.35050892829895,257
A5,17,training_set_primary_roi_028:150,neutrophil,both_correct,0,0.9672830725462305,0.9366391184573003,0.014326647564469915,2.3715479373931885,258
A5,17,training_set_primary_roi_029:28,endothelium,both_correct,0,0.972318339100346,0.9461279461279462,0.05387205387205387,1.0312246084213257,259
A5,17,training_set_primary_roi_029:103,plasma_cell,both_wrong,0,0.975,0.9512195121951219,0.01904761904761905,3.603834629058838,260
A5,17,training_set_primary_roi_029:113,stroma,both_wrong,0,0.9788617886178862,0.9585987261146497,0.022508038585209004,0.8680835366249084,261
A5,17,training_set_primary_roi_030:90,stroma,both_wrong,0,0.9424657534246575,0.8911917098445595,0.10880829015544041,1.972914695739746,262
A5,17,training_set_primary_roi_030:111,epithelium,both_wrong,0,0.979854264894985,0.9605042016806723,0.03288364249578415,2.430689573287964,263
A5,17,training_set_primary_roi_031:60,lymphocyte,A1_wrong_candidate_correct,1,0.9845360824742269,0.9695431472081218,0.005141388174807198,3.8847854137420654,264
A5,17,training_set_primary_roi_031:297,melanophage,both_correct,0,0.9785575048732943,0.9580152671755725,0.04198473282442748,0.9703860282897949,265
A5,17,training_set_primary_roi_032:60,melanophage,both_correct,0,0.9567068843151171,0.9170068027210885,0.05655172413793103,3.672898769378662,266
A5,17,training_set_primary_roi_032:185,epithelium,both_correct,0,0.9646153846153847,0.9316493313521546,0.04216867469879518,2.3848001956939697,267
