prompt,experiment_group,scenario_id,run_id,seed,fold,phase,epoch,split,class_name,support,predicted,precision,recall,f1,TP,FP,FN,dominant_confusion
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,train,endothelium,24,20,0.85,0.7083333333333334,0.7727272727272727,17,3,7,"[[""histiocyte"",2],[""melanophage"",2],[""tumor"",1],[""lymphocyte"",1],[""plasma_cell"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,train,apoptosis,24,19,0.7368421052631579,0.5833333333333334,0.6511627906976745,14,5,10,"[[""tumor"",3],[""plasma_cell"",2],[""epithelium"",2],[""histiocyte"",1],[""neutrophil"",1],[""endothelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,dev,tumor,58,51,0.5882352941176471,0.5172413793103449,0.5504587155963303,30,21,28,"[[""histiocyte"",6],[""melanophage"",6],[""epithelium"",5],[""lymphocyte"",3],[""plasma_cell"",3],[""neutrophil"",2],[""endothelium"",2],[""apoptosis"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,dev,lymphocyte,23,20,0.35,0.30434782608695654,0.32558139534883723,7,13,16,"[[""histiocyte"",5],[""plasma_cell"",4],[""tumor"",3],[""melanophage"",2],[""stroma"",1],[""epithelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,dev,plasma_cell,18,22,0.2727272727272727,0.3333333333333333,0.3,6,16,12,"[[""melanophage"",3],[""neutrophil"",3],[""lymphocyte"",2],[""histiocyte"",2],[""tumor"",1],[""stroma"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,dev,histiocyte,18,23,0.13043478260869565,0.16666666666666666,0.14634146341463414,3,20,15,"[[""plasma_cell"",4],[""melanophage"",4],[""tumor"",2],[""endothelium"",2],[""lymphocyte"",1],[""neutrophil"",1],[""epithelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,dev,melanophage,18,32,0.40625,0.7222222222222222,0.52,13,19,5,"[[""tumor"",2],[""histiocyte"",1],[""endothelium"",1],[""apoptosis"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,dev,neutrophil,18,23,0.5217391304347826,0.6666666666666666,0.5853658536585366,12,11,6,"[[""tumor"",3],[""apoptosis"",2],[""endothelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,dev,stroma,18,9,0.3333333333333333,0.16666666666666666,0.2222222222222222,3,6,15,"[[""lymphocyte"",3],[""plasma_cell"",3],[""apoptosis"",3],[""tumor"",2],[""neutrophil"",2],[""melanophage"",1],[""epithelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,dev,epithelium,18,23,0.5652173913043478,0.7222222222222222,0.6341463414634146,13,10,5,"[[""tumor"",4],[""stroma"",1]]"
