run_id,seed,representation,tier_a,adaptation,epochs_run,score,config_sha256,checkpoint_sha256
p6_D_selected_optimizer_regularization_hpo_006_cv1,17,cls,True,frozen,9,0.2556543319082019,33b18fd8a0a53d65a91df8a2418140adacc85195e8703a74a314ef620faf8aba,3b1305df6a49e555763ec4f97fb5bc7fa95667cf6ea0ea1c1cc48ab7d01a0386
p6_D_selected_optimizer_regularization_hpo_006_cv2,17,cls,True,frozen,17,0.2373689112819548,7079b4bcbc4550e2e4601c23b11ae27fef2dd509d9b42346ca2d554102208ff8,2fcc6d0c1a36c2dd2220f6dbfa7b625c67698fd9408fa00b0c3ee30a2125fdca
p6_D_selected_optimizer_regularization_hpo_007_cv0,17,cls,True,frozen,12,0.23584657889148736,8f0fa441999aaf2f3f887b66229d85e542593b4a15380ba9d87c12a07fc82ba8,512ff763f9768435eaf35cf4befe3be86cc33643548df5a99fec0068cacfe89e
p6_D_selected_optimizer_regularization_hpo_007_cv1,17,cls,True,frozen,9,0.25375517748782506,7f3a0d75442c9ce615850418d8b79f7fb13c3ae6b4bed9549390746633f0d1ef,fd9729186d0a4e50f58064bdd9ff8700c5c654f22ea047dcaff0fdf536a2380d
p6_D_selected_optimizer_regularization_hpo_007_cv2,17,cls,True,frozen,10,0.22267524745785616,ffbb30400199874369e4d7a0c57532289186b39e2338a8a26bbd7af2bd2557ce,109bcfa98079292c6032ce60e2d6e9dbad93a6e162beb4fa9b5f075643bbb546
p6_D_selected_optimizer_regularization_hpo_008_cv0,17,cls,True,frozen,18,0.2184101797089913,cbbb4ab4438e516629d8d1a3a9953490c665bba1df569cefd54cca2bd5e65b91,104d9465d5f6b365d22a037a8694785c8d7cb36620e2fc53bd24bc411722da84
p6_D_selected_optimizer_regularization_hpo_008_cv1,17,cls,True,frozen,9,0.24622199158770366,1779ec9493f7c34a24817fdb7e2c972883a506406374ee43ea094cc47978c974,2faf836e955077b9f14a4f301bb88d7af36ad08bbd08dda40fdfd1643ff6532f
p6_D_selected_optimizer_regularization_hpo_008_cv2,17,cls,True,frozen,13,0.22758676816221574,8fe5cecaf632d46ffc2de62af6a0acd4dd38f0355396295ecc08e41fcffb8f73,e64222a48f8618d55e60f9f8b89103cad40a8530bcf7a10851a17f49b81b7a6a
p6_E_tierA_off_s17,17,cls,False,frozen,10,0.136437074829932,f5b17991703a67f48e38fcf9454f4a0aad069652f6c7a9f2fee5059a402d1762,a6de4e90186eeaa49b26b88b830669d34b0166888597d6c148723ee8a57b6758
p6_F_gaussian_s17,17,gaussian,True,frozen,10,0.1810714285714286,aa153e50b1492100da3279e8331f337303a4a691d7f976670f93bed653c0d8d6,269e5e01face1c5d65a61228f0dbcca7d7a8afed8ddaf773c9f16119926edd63
p6_F_global_local_s17,17,global_local,True,frozen,10,0.1780952380952381,f65db555a54122454d5e0db6e83fbd3546c66b65180f72975459f1541535ff7e,571d32e6eacf4bc5862eec42846593e8d7378409d64fddcb176546250ed634d7
p6_F_neighborhood_s17,17,neighborhood,True,frozen,10,0.17279761904761906,ba0fcda6fcab29ae48c73df289ce0b0cf09629658abe14d76c2472ee7256437c,44fd4f3bfd571cdaaf7642eacdf528e1b3c92a9a593d27eeee63559f143ac9fc
p6_H_candidate_s29,29,gaussian,True,frozen,10,0.17720238095238094,05d8dbfdd9fcec4d8c5b3ec361266b170d0923a0cb0e3392ad703ee35306c573,b8915cc4946a9228d70e6e6d55d32620a8b171d9d6054ced3cec90c3b6809af8
p6_H_candidate_s43,43,gaussian,True,frozen,10,0.1778061224489796,ce7038724b03a03c2afb4fa4220976494afe410e6405e677b72c4752f4e5f744,6417c49b88911963fd2dd9f638e0f090a60dae7001dae31c77e873515e8ca278
